Infinity Alpha Omega LLC,,,,,,,,,
Transaction Report,,,,,,,,,
All Dates,,,,,,,,,

,Transaction date,Transaction type,Num,Name,Description,Account Name,Item split account,Amount,Balance
21000 Due to I A Z Corporation,,,,,,,,,
,09/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"1,200.00","377,673.96"
,09/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"1,200.00","378,873.96"
,09/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-6,957.00","371,916.96"
,09/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-1,859.88","370,057.08"
,10/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,493.00,"370,550.08"
,10/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,600.00,"371,150.08"
,10/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,215.55,"371,365.63"
,10/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"1,200.00","372,565.63"
,10/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-6,957.00","365,608.63"
,10/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-1,859.88","363,748.75"
,11/03/2025,Expense,misc,,showdown displays,21000 Due to I A Z Corporation,Old National Bank 0979,-596.40,"363,152.35"
,11/05/2025,Journal Entry,KK Rec Pymt to IAZ,,,21000 Due to I A Z Corporation,,-300.00,"362,852.35"
,11/30/2025,Journal Entry,kk util 2025 11,,Due to IAZ for Utilities Paid Mpls,21000 Due to I A Z Corporation,,"9,834.71","372,687.06"
,11/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,471.66,"373,158.72"
,11/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"11,214.63","384,373.35"
,11/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"1,200.00","385,573.35"
,11/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-6,957.00","378,616.35"
,11/30/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-1,859.88","376,756.47"
,12/02/2025,Expense,misc,,uline,21000 Due to I A Z Corporation,Old National Bank 0979,-467.14,"376,289.33"
,12/05/2025,Journal Entry,KK Rec Pymt to IAZ,,,21000 Due to I A Z Corporation,,-300.00,"375,989.33"
,12/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"1,200.00","377,189.33"
,12/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-6,957.00","370,232.33"
,12/31/2025,Journal Entry,KK 2025 Due To/Fr,,KK 2025 Due To/Fr,21000 Due to I A Z Corporation,,"-1,859.88","368,372.45"
,01/31/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,"1,200.00","369,572.45"
,01/31/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,"-6,957.00","362,615.45"
,01/31/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,"-1,859.88","360,755.57"
,01/31/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,189.00,"360,944.57"
,01/31/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,300.00,"361,244.57"
,01/31/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,"1,802.77","363,047.34"
,01/31/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,"2,630.58","365,677.92"
,02/28/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,"1,200.00","366,877.92"
,02/28/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,"-6,957.00","359,920.92"
,02/28/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,"-1,859.88","358,061.04"
,03/31/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,"2,630.58","360,691.62"
,03/31/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,"1,802.77","362,494.39"
,03/31/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,300.00,"362,794.39"
,03/31/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,93.41,"362,887.80"
,03/31/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,"-6,957.00","355,930.80"
,03/31/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,"-1,859.88","354,070.92"
,04/30/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,"1,200.00","355,270.92"
,04/30/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,"2,282.46","357,553.38"
,04/30/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,"1,200.00","358,753.38"
,04/30/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,60.84,"358,814.22"
,04/30/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,189.14,"359,003.36"
,04/30/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,100.46,"359,103.82"
,04/30/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,78.59,"359,182.41"
,04/30/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,45.51,"359,227.92"
,04/30/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,57.56,"359,285.48"
,04/30/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,35.16,"359,320.64"
,04/30/2026,Journal Entry,KK 2026 Due To/Fr,,KK 2026 Due To/Fr,21000 Due to I A Z Corporation,,41.74,"359,362.38"
,05/01/2026,Expense,612112099427,,fuel,21000 Due to I A Z Corporation,Old National Bank 0979,-71.72,"359,290.66"
Total for 21000 Due to I A Z Corporation,,,,,,,,"$359,290.66",
TOTAL,,,,,,,,"$359,290.66",



"Accrual Basis Monday, September 21, 2026 05:07 PM GMT-05:00",,,,,,,,,
